# title_id|version|kind|status|method|label|source|payload|note|delay_seconds
BLUS30400|01.00|60|update_required|none|Atualize para 01.02 para 60 FPS|PS3 real lab||Patch 60 FPS conhecido exige o update oficial 01.02. Atualize o jogo, abra novamente e escaneie de novo.
BLUS30400|01.01|60|update_required|none|Atualize para 01.02 para 60 FPS|PS3 real lab||Patch 60 FPS conhecido exige o update oficial 01.02. Atualize o jogo, abra novamente e escaneie de novo.
BLUS30400|01.02|60|known|ncl|60 FPS (testado em PS3 real)|PS3 real lab|0 0035D3E4 38600000|Confirmado em PS3 real com update oficial 01.02; Just Cause 2 mudou de cerca de 30 FPS para cerca de 55 FPS em gameplay.
BLUS30400|01.02|unlock|known|ncl|Unlock FPS / +60 (testado em PS3 real)|PS3 real lab|0 0035D3E4 38600000|Confirmado em PS3 real com update oficial 01.02; Just Cause 2 mudou de cerca de 30 FPS para cerca de 55 FPS em gameplay.
BLUS30687|01.05|unlock|known|ncl|Unlock FPS (testado em PS3 real)|PS3 real lab|0 00DF70A8 38600000|Confirmado em PS3 real com webMAN PS3MAPI; Far Cry 3 BLUS30687 01.05 desbloqueou corretamente.
BLUS31201|01.03|unlock|known|ncl|Unlock FPS (testado em gameplay)|PS3 real lab|0 01861F80 404E0000;0 01861F88 3F911111|Confirmado em PS3 real no BLUS31201 01.03 via webMAN PS3MAPI. Valores originais vistos em RAM: 01861F80=403DF876 e 01861F88=3FA1155B. Depois do patch: 01861F80=404E0000 e 01861F88=3F911111. Aplique depois de 2 minutos e teste dentro da corrida.|120
BLUS31201|01.03|60|unavailable|none|Use FPS ilimitado / +60|PS3 real lab||60 FPS alvo bloqueado no BLUS31201 01.03: a rota publica 01841D00=404E foi aplicada no PS3 real e o jogo continuou em 30 FPS. Use a opcao FPS ilimitado / +60 confirmada.
BLUS30262|01.00|unlock|update_required|none|Atualize para 01.01 para desbloquear FPS|PS3 real lab||Patch Wheelman confirmado exige update 01.01. Na versao 01.00 o endereco publico nao mudou o FPS e verificacao via PS3MAPI em ISO/USB travou; atualize antes de aplicar.
BLUS30262|01.01|unlock|known|ncl|Unlock FPS / +60 (testado em PS3 real)|PS3 real lab|0 00806EC0 2C030001|Confirmado em PS3 real pelo projeto PSUF apos atualizar Wheelman BLUS30262 para 01.01. Em 01.00 nao funcionou. Aplique depois de 2 minutos e teste em gameplay.|120
BLUS30262|01.01|60|unavailable|none|Use FPS ilimitado / +60|PS3 real lab||60 FPS alvo bloqueado para Wheelman BLUS30262 01.01: o payload confirmado e o desbloqueio FPS / +60, nao ha confirmacao de alvo 60 separado.
BCES01141|01.03|unlock|known|ncl|Unlock FPS (testado em PS3 real)|PS3 real lab|0 0073C7A0 38600001;0 0073C78C 38A00001|Confirmado em PS3 real apos atualizar para 01.03. O jogo aparenta mirar 30 FPS por padrao; patch chegou a cerca de 60 FPS. Recomendado aplicar no menu principal antes do gameplay.
NPUB30564|01.00|unlock|known|ncl|Unlock FPS (testado em gameplay)|PS3 real lab|0 00C25524 60000000;0 00C25530 60000000|Confirmado em PS3 real durante gameplay/mapa. NPUB30564 nao usa os mesmos enderecos da versao em disco; esta rota desativa o ponto syscall 44000002 e um branch proximo.
NPUB31254|01.00|unlock|update_required|none|Atualize para 01.04 para desbloquear FPS|PS3 real lab||Patch confirmado exige update oficial 01.04. Atualize o jogo, abra novamente e escaneie de novo.
NPUB31254|01.04|60|known|ncl|60 FPS (testado em PS3 real)|PS3 real lab|0 00EE7C00 60000000;0 00EE7C04 38800000|Confirmado em PS3 real apos atualizar Watch Dogs NPUB31254 para 01.04. A versao 01.00 nao funcionou; update necessario. Aguarde 2 minutos antes de aplicar.|120
NPUB31254|01.04|unlock|unavailable|none|Use 60 FPS alvo|PS3 real lab||Entrada ilimitada bloqueada: o mesmo payload tambem existe como 60 FPS alvo e nao ha confirmacao clara de FPS ilimitado.
NPUB30984|01.06|unlock|pc|eboot_pc|RE6 NPUB precisa analise propria|PS3 real lab||Nao aplicar diretamente a rota BLUS30855 01.06 na NPUB30984 01.06. O teste em RAM nos enderecos 010E5B18/010E5B2C travou porque os bytes nao batiam. Aplicar apenas depois do menu/trofeus e quando um padrao NPUB proprio for encontrado.
BLUS30762|01.09|60|pc|eboot_pc|BF3 BLUS precisa analise propria|PS3 real lab||Nao aplicar diretamente a rota comunitaria 60 FPS v01.09 como disponivel. Aplicada no menu, ela persistiu em memoria no gameplay mas continuou em 30 FPS; aplicada durante gameplay, a chamada 007D9A98 travou. Requer novo padrao para esta versao.
NPUB30898|01.15|unlock|pc|eboot_pc|Borderlands 2 NPUB precisa VBlank/analise|PS3 real lab||Patch comunitario 001EF34C 60000000 foi aplicado em RAM e confirmado no gameplay, mas continuou em 30 FPS. Endereco alternativo 001ED76C tambem nao mudou. A propria nota comunitaria diz que o maximo depende da frequencia VBlank; nao marcar como 60 seguro nesta condicao.
NPUB30818|01.02|unlock|known|ncl|Unlock FPS (testado em PS3 real)|PS3 real lab|0 00898BB8 60000000;0 00898CBC 60000000;0 00898AC4 60000000;0 00898AD8 60000000;0 00898AB4 60000000|Confirmado em PS3 real com Sleeping Dogs NPUB30818 01.02. O padrao BLUS30927 01.04 tambem bateu nesta versao NPUB; desbloqueou acima de 30 FPS, observado cerca de 40 FPS em gameplay.
NPUB30181|01.01|60|pc|eboot_pc|Castle Crashers NPUB precisa analise propria|PS3 real lab||Patch conhecido NPEB00293 01.00 foi testado em RAM nos enderecos 000956B4 e 002B2044. Tambem foram testados 000956B8, 002B20F8 e 002AE824; o jogo continuou em cerca de 30 FPS na NPUB30181 01.01. Precisa procurar padrao proprio desta versao.
BLUS30500|01.07|unlock|known|ncl|Unlock FPS (testado em PS3 real)|PS3 real lab|0 0097504C 60000000|Confirmado em PS3 real com Fallout New Vegas BLUS30500 01.07. A rota da Ultimate Edition BLUS30888 01.00 tambem bateu nesta versao; desbloqueou acima de 30 FPS, observado cerca de 35 FPS em gameplay.
# Fallout 3 note: the failed hardware test was a non-GOTY/incompatible-route test, not a reason to block the public GOTY BLUS30451 01.00 row.
BLUS30451|01.61|unlock|pc|eboot_pc|Fallout 3: rota incompativel travou|PS3 real lab||Falha registrada em copia nao-GOTY/testada pelo projeto PSUF ao tentar a rota publica 0 00702BCC 60000000. Nao use este teste para bloquear a entrada GOTY BLUS30451 01.00; esta versao detectada como 01.61 precisa analise propria.
BLES01128|*|unlock|known|ncl|Unlock FPS / +60 (GTA IV ISO/fallback)|PS3 real lab|0 00F18840 00000000|Fallback para GTA IV Complete Edition quando o app identifica o ISO pelo nome mas nao consegue ler APP_VER do PARAM.SFO interno. Confirme que e BLES01128 atualizado antes de aplicar. Aguarde 2 minutos antes de aplicar.|120
BLES01807|01.27|60|known|ncl|60 FPS (testado por mnz)|mnz / PSUF community|0 004A0E34 4800006C;0 01F891B4 00000001|Confirmado em PS3 real com CFW + webMAN MOD. Esta e a rota atual mantida para GTA V BLES01807 01.27.|120
BCAS20270|01.11|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place / NunoRS2000|0 01571A6F 01|The Last of Us v01.11. Fonte informa que 02 e 30 FPS, 01 e 60 FPS e 00 e desbloqueado. Ainda nao confirmado pelo PSUF em PS3 real.|120
BCES01584|01.11|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place / NunoRS2000|0 01571A6F 01|The Last of Us v01.11. Fonte informa que 02 e 30 FPS, 01 e 60 FPS e 00 e desbloqueado. Ainda nao confirmado pelo PSUF em PS3 real.|120
BCES01585|01.11|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place / NunoRS2000|0 01571A6F 01|The Last of Us v01.11. Fonte informa que 02 e 30 FPS, 01 e 60 FPS e 00 e desbloqueado. Ainda nao confirmado pelo PSUF em PS3 real.|120
BCUS98174|01.11|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place / NunoRS2000|0 01571A6F 01|The Last of Us v01.11. Fonte informa que 02 e 30 FPS, 01 e 60 FPS e 00 e desbloqueado. Ainda nao confirmado pelo PSUF em PS3 real.|120
BCAS20270|01.11|unlock|untested|ncl|Unlock FPS / +60 (PSX-Place test)|PSX-Place / NunoRS2000|0 01571A6F 00|The Last of Us v01.11. Fonte informa que 02 e 30 FPS, 01 e 60 FPS e 00 e desbloqueado. Ainda nao confirmado pelo PSUF em PS3 real.|120
BCES01584|01.11|unlock|untested|ncl|Unlock FPS / +60 (PSX-Place test)|PSX-Place / NunoRS2000|0 01571A6F 00|The Last of Us v01.11. Fonte informa que 02 e 30 FPS, 01 e 60 FPS e 00 e desbloqueado. Ainda nao confirmado pelo PSUF em PS3 real.|120
BCES01585|01.11|unlock|untested|ncl|Unlock FPS / +60 (PSX-Place test)|PSX-Place / NunoRS2000|0 01571A6F 00|The Last of Us v01.11. Fonte informa que 02 e 30 FPS, 01 e 60 FPS e 00 e desbloqueado. Ainda nao confirmado pelo PSUF em PS3 real.|120
BCUS98174|01.11|unlock|untested|ncl|Unlock FPS / +60 (PSX-Place test)|PSX-Place / NunoRS2000|0 01571A6F 00|The Last of Us v01.11. Fonte informa que 02 e 30 FPS, 01 e 60 FPS e 00 e desbloqueado. Ainda nao confirmado pelo PSUF em PS3 real.|120
BLUS03702|01.08|unlock|untested|ncl|Unlock FPS / +60 (PSX-Place test)|PSX-Place community|0 00F18830 00|GTA IV v01.08. Rota comunitaria direta: 3D para 00 no endereco 00F18830. A rota BLES01128 testada pelo PSUF foi mantida sem alteracao.|120
BLUS30253|01.02|60|untested|ncl|60 FPS Cutscenes Only (PSX-Place test)|PSX-Place community|0 0046383F 01|Skate 2 BLUS30253 01.02. Fonte informa que o efeito parece ficar limitado as cutscenes.|120
BLUS31431|01.00|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place community|0 006AF44E 0001;0 006AF46E 0001;0 006AF492 0001;0 006AF4B6 0001|Hatsune Miku Project Diva F 2nd BLUS31431. Todos os enderecos sao necessarios. Fonte informa que pode quebrar videos, mas o jogo continua jogavel.|120
BLUS31554|01.00|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place community|0 00170CC8 60|Lost Dimension BLUS31554. Fonte informa alterar 41 para 60.|120
BLUS30029|01.00|60|untested|ncl|60 FPS Cutscenes Only (PSX-Place test)|PSX-Place community|0 00889063 01|Pirates of the Caribbean: At World's End BLUS30029. Fonte informa que parece afetar apenas cutscenes.|120
BLUS30464|01.05|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place community|0 0094713A 00|Skate 3 BLUS30464 01.05. Fonte informa alterar 06 para 00.|120
BLUS30565|01.01|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place community|0 002A1250 60000000|Silent Hill Downpour BLUS30565 01.01. Rota comunitaria ainda nao confirmada pelo PSUF em PS3 real.|120
BLUS30710|01.02|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place community|0 001242F8 6000|Kingdoms of Amalur: Reckoning BLUS30710 01.02. Fonte informa alterar 489C para 6000.|120
BLUS31212|01.00|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place community|0 00012484 38800000;0 00036870 38800000|Kingdom Hearts HD 1.5 ReMIX Chain of Memories BLUS31212. Uma das rotas foi marcada na fonte como nao testada; fica como alternativa comunitaria.|120
BLUS31460|01.00|60|untested|ncl|60 FPS (PSX-Place test)|PSX-Place community|0 00015AA4 38600000;0 00076859 38600000|Kingdom Hearts HD 2.5 ReMIX Birth by Sleep BLUS31460. Uma das rotas foi marcada na fonte como suposta/nao testada; fica como alternativa comunitaria.|120
BLUS30117|01.00|60|untested|ncl|60 FPS Cutscenes Only (PSX-Place test)|PSX-Place community|0 004C4383 01;0 001633E8 6000|Dragon Ball Z: Burst Limit BLUS30117. Fonte informa cutscenes em 60 FPS e correcao do pause glitch.|120
